Z,Y,T
0.0016552,0.0082241,507.9419999116807
-0.0016552,0.0082241,507.9419999116807
0.0016552,0.009431,574.6238192085533
-0.0016552,0.009431,574.6238192085533
0.0016552,0.0106379,648.5794159121374
-0.0016552,0.0106379,648.5794159121374
0.0016552,0.0118448,729.9175165907287
-0.0016552,0.0118448,729.9175165907287
0.0016552,0.0130517,817.4760554639809
-0.0016552,0.0130517,817.4760554639809
0.0016552,0.0142586,910.613573894716
-0.0016552,0.0142586,910.613573894716
0.0016552,0.0154655,1009.8449828381288
-0.0016552,0.0154655,1009.8449828381288
0.0016552,0.0166724,1114.0251102207142
-0.0016552,0.0166724,1114.0251102207142
0.0016552,0.0178793,1222.555334520996
-0.0016552,0.0178793,1222.555334520996
0.0016552,0.0190862,1333.688808440296
-0.0016552,0.0190862,1333.688808440296
0.0016552,0.0202931,1446.1065307672245
-0.0016552,0.0202931,1446.1065307672245
0.0016552,0.0215,1559.6296155613695
-0.0016552,0.0215,1559.6296155613695
0.002069,-0.0135,184.09893551419876
-0.002069,-0.0135,184.09893551419876
0.002069,-0.0122931,184.39573120916464
-0.002069,-0.0122931,184.39573120916464
0.002069,-0.0110862,185.22451157262554
-0.002069,-0.0110862,185.22451157262554
0.002069,-0.0098793,186.639815644186
-0.002069,-0.0098793,186.639815644186
0.002069,-0.0086724,188.7465064899516
-0.002069,-0.0086724,188.7465064899516
0.002069,-0.0074655,191.77671791099246
-0.002069,-0.0074655,191.77671791099246
0.002069,-0.0062586,195.8541791693961
-0.002069,-0.0062586,195.8541791693961
0.002069,-0.0050517,201.19278093620173
-0.002069,-0.0050517,201.19278093620173
0.002069,-0.0038448,208.131172620799
-0.002069,-0.0038448,208.131172620799
0.002069,-0.0026379,217.3358800389938
-0.002069,-0.0026379,217.3358800389938
0.002069,-0.001431,229.10390736488628
-0.002069,-0.001431,229.10390736488628
0.002069,-0.0002241,244.01189625208337
-0.002069,-0.0002241,244.01189625208337
0.002069,0.0009828,262.831242567657
-0.002069,0.0009828,262.831242567657
0.002069,0.0021897,287.05736882091367
-0.002069,0.0021897,287.05736882091367
0.002069,0.0033966,317.00462022133433
